parid,malay,muslim_bumiputera,non_muslim_bumiputera,bp_sabah,bp_sarawak,org_asli_pen,others,chinese,indian,ttl
118,61.09,,,0.76,1.08,0.04,0.77,25.87,10.38,99.99
119,70.49,,,0.5,0.37,0.01,1.91,17.3,9.42,100.0
120,12.53,,,0.37,0.28,0.02,0.73,75.12,10.95,100.00000000000001
121,62.12,,,0.68,0.48,0.02,1.54,18.91,16.24,99.99
122,9.04,,,0.23,0.08,,0.75,82.03,7.87,100.0
123,9.68,,,0.22,0.06,0.01,0.38,82.93,6.73,100.01
124,61.08,,,0.42,0.53,0.01,0.58,29.1,8.27,99.99
125,94.17,,,0.85,0.42,0.04,0.47,0.89,3.18,100.02
166,42.07,,,31.16,1.7,0.01,3.03,20.67,1.36,100.00000000000001
192,5.0,,,,76.0,,1.0,18.0,,100.0
193,80.0,,,,12.0,,,8.0,,100.0
194,73.0,,,,12.0,,2.0,13.0,,100.0
195,4.0,,,,6.0,,1.0,89.0,,100.0
196,16.0,,,,18.0,,2.0,64.0,,100.0
197,62.0,,,,26.0,,1.0,11.0,,100.0
198,5.0,,,,68.0,,1.0,26.0,,100.0
199,8.0,,,,81.0,,1.0,10.0,,100.0
200,70.0,,,,24.0,,1.0,5.0,,100.0
201,67.0,,,,30.0,,,3.0,,100.0
202,10.0,,,,73.0,,,17.0,,100.0
203,2.0,,,,90.0,,,8.0,,100.0
204,38.0,,,,55.0,,,7.0,,100.0
205,36.0,,,,57.0,,1.0,6.0,,100.0
206,26.0,,,,69.0,,1.0,4.0,,100.0
207,7.0,,,,89.0,,,4.0,,100.0
208,5.0,,,,32.0,,,63.0,,100.0
209,1.0,,,,94.0,,,5.0,,100.0
210,2.0,,,,86.0,,,12.0,,100.0
211,3.0,,,,27.0,,1.0,69.0,,100.0
212,11.0,,,,25.0,,1.0,63.0,,100.0
213,3.0,,,,87.0,,1.0,9.0,,100.0
214,1.0,,,,95.0,,1.0,3.0,,100.0
215,3.0,,,,87.0,,,10.0,,100.0
216,1.0,,,,97.0,,,2.0,,100.0
217,11.0,,,,60.0,,,29.0,,100.0
218,24.0,,,,54.0,,,22.0,,100.0
219,15.0,,,,28.0,,2.0,55.0,,100.0
220,5.0,,,,87.0,,,8.0,,100.0
221,28.0,,,,46.0,,8.0,18.0,,100.0
222,40.0,,,,48.0,,3.0,9.0,,100.0
167,,56.87,33.59,,,,0.42,9.12,,100.0
168,,28.5,68.89,,,,0.39,2.22,,100.0
169,,60.28,38.02,,,,0.29,1.42,,100.01
170,,47.58,46.53,,,,0.56,5.33,,100.0
171,,55.25,24.63,,,,1.14,18.98,,100.0
172,,22.35,13.82,,,,1.31,62.52,,100.0
173,,69.24,14.35,,,,0.99,15.43,,100.00999999999999
174,,13.95,51.79,,,,1.71,32.56,,100.00999999999999
175,,66.71,25.31,,,,0.52,7.46,,100.0
176,,66.54,29.93,,,,0.34,3.19,,100.0
177,,65.98,26.11,,,,0.45,7.46,,100.0
178,,76.27,19.48,,,,0.52,3.74,,100.01
179,,40.03,57.22,,,,1.05,1.71,,100.01
180,,28.03,62.11,,,,1.2,8.67,,100.01
181,,28.01,61.31,,,,0.51,10.17,,100.0
182,,24.27,73.93,,,,0.5,1.3,,100.0
183,,54.05,44.26,,,,0.85,0.84,,100.0
184,,76.77,6.15,,,,0.62,16.47,,100.01
185,,65.06,4.09,,,,0.82,30.03,,100.0
186,,43.9,5.71,,,,1.09,49.29,,99.99000000000001
187,,72.48,26.47,,,,0.49,0.56,,100.0
188,,79.86,8.98,,,,0.81,10.35,,100.0
189,,96.43,1.68,,,,0.32,1.58,,100.01000000000002
190,,60.71,4.91,,,,0.82,33.56,,100.0
191,,84.4,6.18,,,,0.88,8.54,,100.00000000000001
