parid,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90
129,14.72,21.39,18.55,19.18,14.13,7.49,3.92,0.63
130,15.47,22.47,20.75,19.15,13.46,6.11,2.13,0.45
131,18.75,23.13,19.85,19.18,12.01,4.76,1.94,0.38
132,16.4,24.37,20.69,18.27,12.44,5.66,1.79,0.4
133,17.03,27.96,17.59,16.51,12.87,5.96,1.82,0.26
134,19.24,22.92,18.71,17.87,12.11,6.44,2.38,0.33
135,18.0,22.84,19.25,17.91,12.71,6.45,2.42,0.41
136,22.73,27.86,19.31,14.81,9.44,4.36,1.3,0.19
137,20.46,24.36,18.69,17.57,11.83,5.41,1.46,0.22
138,15.79,21.21,19.14,19.06,14.48,7.4,2.39,0.52
139,20.16,22.72,19.76,17.67,11.4,5.74,2.19,0.36
140,17.34,21.18,17.67,19.97,14.55,6.35,2.46,0.48
141,17.05,24.81,19.02,17.01,14.06,6.02,1.81,0.22
142,15.64,21.48,19.75,18.83,13.99,7.29,2.5,0.52
143,16.36,22.78,18.99,19.09,12.69,6.47,3.17,0.46
144,17.81,21.93,19.72,18.27,12.51,6.72,2.6,0.45
145,15.66,22.04,19.8,19.09,13.42,6.96,2.57,0.46
146,17.51,23.01,18.68,17.75,12.6,6.73,3.11,0.62
147,14.98,20.68,20.14,20.0,13.52,7.16,2.98,0.55
148,17.48,23.03,20.61,18.26,11.92,6.14,2.18,0.38
149,18.35,22.49,20.96,18.98,11.16,5.55,2.16,0.34
150,17.74,22.72,18.93,18.07,12.75,6.85,2.47,0.47
151,17.53,22.62,19.99,18.78,12.02,6.51,2.1,0.46
152,17.87,23.85,18.96,17.86,13.21,6.08,1.82,0.36
153,17.3,26.65,17.06,17.6,14.11,5.38,1.59,0.32
154,18.23,28.13,15.72,17.21,14.07,4.84,1.4,0.4
155,18.41,26.39,21.57,16.26,10.82,4.93,1.42,0.21
156,16.25,27.78,18.72,14.92,14.78,6.06,1.21,0.29
157,13.87,28.76,21.43,11.97,15.26,7.28,1.1,0.34
158,19.85,24.11,25.63,17.94,8.45,2.95,0.87,0.2
159,18.63,23.75,24.4,20.07,9.63,2.75,0.67,0.08
160,11.5,19.73,19.6,21.05,17.17,7.88,2.47,0.6
161,15.49,23.2,22.97,18.82,12.37,5.17,1.48,0.5
162,18.02,23.5,23.09,19.92,10.78,3.61,0.9,0.16
163,16.22,22.03,23.63,18.85,11.76,5.53,1.66,0.32
164,15.52,22.57,19.91,18.0,13.17,7.5,2.78,0.54
165,16.6,22.16,20.7,18.29,12.43,6.84,2.48,0.51
166,17.53,26.23,18.43,19.68,11.99,4.24,1.31,0.61
167,17.74,25.96,20.4,15.18,10.28,5.4,2.98,2.05
168,16.29,28.12,20.13,15.91,9.92,5.38,2.62,1.61
169,18.34,26.43,20.36,17.22,9.21,4.91,2.38,1.15
170,15.8,25.41,22.04,18.68,9.95,4.72,2.25,1.16
171,19.27,29.63,19.89,17.51,8.62,3.11,1.21,0.76
172,11.82,19.08,20.01,21.19,17.27,7.16,2.34,1.13
173,17.47,26.04,20.15,18.07,11.66,4.14,1.49,0.98
174,15.59,27.24,22.38,17.8,10.8,4.1,1.46,0.62
175,16.93,25.53,22.26,18.49,10.55,4.23,1.38,0.64
176,16.39,25.79,22.54,18.31,9.85,4.37,1.65,1.11
177,14.69,23.58,22.9,20.64,11.0,4.98,1.59,0.61
178,17.09,25.36,21.5,19.17,9.98,4.4,1.72,0.78
179,17.78,28.35,20.15,17.08,8.72,4.62,2.16,1.14
180,17.94,25.99,21.86,18.88,9.15,3.67,1.68,0.83
181,17.67,26.26,20.73,18.49,8.66,4.47,2.33,1.38
182,19.26,27.24,20.22,16.69,7.34,4.19,3.17,1.88
183,19.57,26.29,21.26,16.56,8.56,4.89,2.0,0.87
184,22.03,27.24,20.1,15.51,9.43,3.67,1.34,0.67
185,19.08,25.05,19.13,16.99,11.37,4.75,2.19,1.44
186,15.85,22.05,19.45,19.05,13.93,5.79,2.54,1.34
187,19.33,26.54,20.65,16.95,8.95,4.42,1.95,1.22
188,20.55,27.45,19.65,17.3,9.53,3.26,1.4,0.87
189,20.33,25.98,21.71,15.98,8.29,4.11,2.05,1.54
190,16.07,23.73,20.55,19.38,12.58,5.01,1.74,0.94
191,20.88,29.51,18.5,16.51,9.28,3.48,1.14,0.7
192,11.48,19.66,23.13,22.6,13.63,6.72,2.32,0.45
193,15.6,23.51,22.78,19.02,11.4,5.82,1.5,0.37
194,12.79,23.34,22.96,20.36,12.42,5.95,1.74,0.43
195,6.18,15.06,20.09,23.73,20.79,9.83,3.44,0.88
196,13.34,25.75,23.37,17.51,12.55,5.6,1.57,0.32
197,16.45,27.36,22.23,16.39,10.24,5.57,1.45,0.31
198,10.16,20.0,22.78,22.86,14.87,6.45,2.37,0.51
199,8.87,18.15,23.44,24.15,14.91,7.41,2.49,0.58
200,13.76,21.23,21.45,20.36,13.58,6.96,2.05,0.61
201,14.61,20.83,22.09,20.36,12.88,6.57,1.97,0.68
202,11.31,18.5,21.32,21.85,15.33,8.26,2.76,0.67
203,10.44,18.74,23.25,21.35,14.2,8.02,2.98,1.01
204,14.08,21.1,21.13,20.12,13.99,6.65,2.46,0.47
205,13.2,20.25,21.75,21.67,14.35,6.06,2.22,0.5
206,13.42,22.15,23.55,20.24,12.57,5.63,1.82,0.62
207,14.68,22.47,21.81,20.53,12.21,5.97,1.97,0.38
208,13.68,21.55,21.28,19.53,14.17,6.59,2.46,0.74
