data
"P112 KUALA LANGAT  Xavier Jayakumar Arulanandam (PH - PKR)42.2% (43,239)Shahril Sufian Hamdan (BN - UMNO)25.5% (26,127)Yahya Baba (PAS)18.3% (18,731)Registered voters: 102,406Majority: 17,112Spoilt votes: 1,131Unreturned votes: 0Voter Turnout: 89,437 (87.3%)DemographicsMalay 57.17%; Chinese 24.03%; Indian 16.26%; B/P Sabah 0.18%; B/P Sarawak 0.13%; Orang Asli (Pen. Msia) 1.72%; Others 0.5%"
"P113 SEPANG  Mohamed Hanipa Maidin (PH - AMANAH)44.7% (46,740)Marsum Paing (BN - UMNO)26.8% (28,035)Sabirin Marsono (PAS)15.2% (15,882)Registered voters: 104,508Majority: 18,705Spoilt votes: 1,083Unreturned votes: 0Voter Turnout: 92,087 (88.1%)DemographicsMalay 62.33%; Chinese 20.33%; Indian 14.21%; B/P Sabah 0.31%; B/P Sarawak 0.23%; Orang Asli (Pen. Msia) 2.05%; Others 0.54%Incumbent: Mohamed Hanipa Maidin"
"P1 PADANG BESAR  Zahidi Zainul Abidin (BN - UMNO)32.6% (15,032)Izizam Ibrahim (PH - PPBM)29.5% (13,594)Mokhtar Senik (PAS)17.1% (7,874)Registered voters: 46,096Majority: 1,438Spoilt votes: 780Unreturned votes: 0Voter Turnout: 37,432 (81.2%)DemographicsMalay 86.61%; Chinese 8.45%; Indian 0.88%; B/P Sabah 0.3%; B/P Sarawak 0.68%; Orang Asli (Pen. Msia) 0.02%; Others 3.07%Incumbent: Zahidi Zainul Abidin"
"P2 KANGAR  Noor Amin Ahmad (PH - PKR)37.4% (20,909)Ramli Shariff (BN - UMNO)27.4% (15,306)Mohamad Zahid Ibrahim (PAS)15.1% (8,465)Registered voters: 55,938Majority: 5,603Spoilt votes: 806Unreturned votes: 0Voter Turnout: 45,703 (81.7%)DemographicsMalay 81.71%; Chinese 15.23%; Indian 1.68%; B/P Sabah 0.07%; B/P Sarawak 0.09%; Others 1.22%"
"P3 ARAU  Shahidan Kassim (BN - UMNO)34.3% (16,547)Abd Rahman Daud (PH - PPBM)24.3% (11,691)Hashim Jasin (PAS)23.6% (11,362)Registered voters: 48,187Majority: 4,856Spoilt votes: 690Unreturned votes: 0Voter Turnout: 40,433 (83.9%)DemographicsMalay 87.66%; Chinese 7.66%; Indian 1.65%; B/P Sabah 0.09%; B/P Sarawak 0.07%; Orang Asli (Pen. Msia) 0.01%; Others 2.87%Incumbent: Shahidan Kassim"
"P4 LANGKAWI  Mahathir Mohamad (PH - PPBM)44.4% (18,954)Nawawi Ahmad (BN - UMNO)23.6% (10,061)Zubir Ahmad (PAS)12.9% (5,512)Registered voters: 42,697Majority: 8,893Spoilt votes: 604Unreturned votes: 0Voter Turnout: 35,250 (82.6%)DemographicsMalay 90.37%; Chinese 6.51%; Indian 2.4%; B/P Sabah 0.19%; B/P Sarawak 0.17%; Others 0.36%Incumbent: Nawawi Ahmad"
"P5 JERLUN  Mukhriz Mahathir (PH - PPBM)34.5% (18,695)Abd Ghani Ahmad (PAS)23.7% (12,829)Othman Aziz (BN - UMNO)22.9% (12,413)Registered voters: 54,132Majority: 5,866Spoilt votes: 723Unreturned votes: 0Voter Turnout: 44,822 (82.8%)DemographicsMalay 91.23%; Chinese 6.89%; Indian 0.1%; B/P Sabah 0.03%; B/P Sarawak 0.02%; Others 1.73%Incumbent: Othman Aziz"
"P6 KUBANG PASU  Amiruddin Hamzah (PH - PPBM)40.6% (29,984)Mohd Johari Baharum (BN - UMNO)23.0% (16,975)Norhafiza Fadzil (PAS)18.1% (13,375)Registered voters: 73,881Majority: 13,009Spoilt votes: 770Unreturned votes: 0Voter Turnout: 61,452 (83.2%)DemographicsMalay 86.49%; Chinese 8.53%; Indian 3.46%; B/P Sabah 0.18%; B/P Sarawak 0.18%; Orang Asli (Pen. Msia) 0.01%; Others 1.16%Incumbent: Mohd Johari Baharum"
"P7 PADANG TERAP  Mahdzir Khalid (BN - UMNO)35.1% (16,384)Mohamad Azam Abd Majid @ Abd Aziz (PAS)32.8% (15,285)Mohd Khairizal Khazali (PH - AMANAH)15.6% (7,254)Registered voters: 46,644Majority: 1,099Spoilt votes: 854Unreturned votes: 0Voter Turnout: 39,932 (85.6%)DemographicsMalay 92.14%; Chinese 1.27%; Indian 0.17%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Others 6.35%Incumbent: Mahdzir Khalid"
"P8 POKOK SENA  Mahfuz Omar (PH - AMANAH)33.3% (28,959)Muhamad Radhi Mat Din (PAS)26.9% (23,401)Said Ali Said Rastan (BN - UMNO)21.2% (18,390)Registered voters: 86,892Majority: 5,558Spoilt votes: 869Unreturned votes: 0Voter Turnout: 71,910 (82.8%)DemographicsMalay 81.45%; Chinese 15.45%; Indian 2.45%; B/P Sabah 0.06%; B/P Sarawak 0.12%; Others 0.46%Incumbent: Mahfuz Omar"
