parid,par,party,win_pct,state,votes_cast,votes_spoilt,ttl_reg,turn_out,malay,muslim_bumiputera,non_muslim_bumiputera,bp_sabah,bp_sarawak,org_asli_pen,others,chinese,indian,urbanisation_level,status,ttl_felda_area,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90,coalition
38,HULU TERENGGANU,BN,0.496,TERENGGANU,62346,871,73487,0.8602,0.9908,,,0.0004,0.0004,0.0021,0.0013,0.004699999999999999,0.0004,RURAL,FELDA,3,26.41,27.74,17.26,13.71,8.68,4.53,1.39,0.27,OPPOSITION
39,DUNGUN,PAS,0.5417000000000001,TERENGGANU,75414,886,90506,0.843,0.9601000000000001,,,0.0007000000000000001,0.0006,,0.0027,0.0341,0.0018,SEMI URBAN,FELDA,5,26.4,27.32,18.63,14.61,8.32,3.59,0.94,0.19,OPPOSITION
40,KEMAMAN,PAS,0.44060000000000005,TERENGGANU,90504,1126,107593,0.8515999999999999,0.9342,,,0.0006,0.0009,0.0019,0.0024,0.0538,0.0062,SEMI URBAN,FELDA,8,25.51,27.17,18.83,15.32,8.65,3.5,0.8,0.2,OPPOSITION
41,KEPALA BATAS,BN,0.4294,PULAU PINANG,52302,715,60523,0.8759999999999999,0.7856000000000001,,,0.0006,0.0006,,0.0013,0.1702,0.0417,SEMI URBAN,NON-FELDA,0,19.27,23.17,21.75,17.13,11.12,5.7,1.63,0.24,OPPOSITION
42,TASEK GELUGOR,BN,0.35729999999999995,PULAU PINANG,51904,689,60850,0.8643000000000001,0.7823,,,0.0012,0.0015,,0.0021,0.1471,0.0659,RURAL,NON-FELDA,0,18.96,25.36,20.55,16.55,10.96,5.73,1.63,0.26,OPPOSITION
43,BAGAN,PKR,0.8595999999999999,PULAU PINANG,60087,463,71583,0.8459,0.1335,,,0.0005,0.0003,,0.0028000000000000004,0.7127,0.1503,URBAN,NON-FELDA,0,12.88,20.08,21.24,20.61,15.47,7.14,2.1,0.48,GOVERNMENT
44,PERMATANG PAUH,PKR,0.5089,PULAU PINANG,69828,658,81789,0.8618000000000001,0.7193999999999999,,,0.0007000000000000001,0.0006,,0.0036,0.2141,0.0616,SEMI URBAN,NON-FELDA,0,17.53,23.35,20.91,18.98,12.44,5.2,1.4,0.2,GOVERNMENT
45,BUKIT MERTAJAM,PKR,0.8540000000000001,PULAU PINANG,74691,1109,88998,0.8517,0.1934,,,0.0006,0.0003,,0.0026,0.7036,0.09949999999999999,URBAN,NON-FELDA,0,15.92,21.92,20.58,18.61,14.12,6.6,1.93,0.31,GOVERNMENT
46,BATU KAWAN,PKR,0.7802,PULAU PINANG,54705,675,65394,0.8469,0.2094,,,0.0008,0.0006,,0.003,0.5587,0.22760000000000002,SEMI URBAN,NON-FELDA,0,15.63,22.52,21.7,19.29,12.85,5.93,1.75,0.32,GOVERNMENT
47,NIBONG TEBAL,PKR,0.5692,PULAU PINANG,62179,860,73383,0.8590000000000001,0.47700000000000004,,,0.0007000000000000001,0.0004,0.0001,0.002,0.3503,0.16949999999999998,RURAL,NON-FELDA,0,18.64,23.77,21.79,17.55,11.29,5.25,1.49,0.23,GOVERNMENT
48,BUKIT BENDERA,PKR,0.8382999999999999,PULAU PINANG,59706,512,75069,0.8022,0.1465,,,0.0009,0.0009,,0.0105,0.7283,0.11289999999999999,URBAN,NON-FELDA,0,10.9,16.27,18.86,20.48,17.57,11.03,3.98,0.93,GOVERNMENT
