parid,par,party,win_pct,state,votes_cast,votes_spoilt,ttl_reg,turn_out,malay,muslim_bumiputera,non_muslim_bumiputera,bp_sabah,bp_sarawak,org_asli_pen,others,chinese,indian,urbanisation_level,status,ttl_felda_area,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90,coalition
195,BANDAR KUCHING,DAP,0.7943000000000001,SARAWAK,61123,241,81856,0.7497,0.04,,,,0.06,,0.01,0.89,,URBAN,NON-FELDA,0,6.18,15.06,20.09,23.73,20.79,9.83,3.44,0.88,GOVERNMENT
196,STAMPIN,DAP,0.637,SARAWAK,51899,408,66240,0.7897,0.16,,,,0.18,,0.02,0.64,,URBAN,NON-FELDA,0,13.34,25.75,23.37,17.51,12.55,5.6,1.57,0.32,GOVERNMENT
197,KOTA SAMARAHAN,BN,0.6990000000000001,SARAWAK,35867,431,46300,0.784,0.62,,,,0.26,,0.01,0.11,,RURAL,NON-FELDA,0,16.45,27.36,22.23,16.39,10.24,5.57,1.45,0.31,OPPOSITION
198,PUNCAK BORNEO,PKR,0.5465,SARAWAK,34520,514,46180,0.7585999999999999,0.05,,,,0.68,,0.01,0.26,,RURAL,NON-FELDA,0,10.16,20.0,22.78,22.86,14.87,6.45,2.37,0.51,GOVERNMENT
199,SERIAN,BN,0.6399,SARAWAK,27419,385,37629,0.7389,0.08,,,,0.81,,0.01,0.1,,RURAL,NON-FELDA,0,8.87,18.15,23.44,24.15,14.91,7.41,2.49,0.58,OPPOSITION
200,BATANG SADONG,BN,0.8325,SARAWAK,17066,220,23213,0.7447,0.7,,,,0.24,,0.01,0.05,,RURAL,NON-FELDA,0,13.76,21.23,21.45,20.36,13.58,6.96,2.05,0.61,OPPOSITION
201,BATANG LUPAR,BN,0.7049,SARAWAK,20151,403,29811,0.6895,0.67,,,,0.3,,,0.03,,RURAL,NON-FELDA,0,14.61,20.83,22.09,20.36,12.88,6.57,1.97,0.68,OPPOSITION
202,SRI AMAN,BN,0.6148,SARAWAK,23000,295,33016,0.7056,0.1,,,,0.73,,,0.17,,SEMI URBAN,NON-FELDA,0,11.31,18.5,21.32,21.85,15.33,8.26,2.76,0.67,OPPOSITION
203,LUBOK ANTU,BEBAS - KUNCI,0.40090000000000003,SARAWAK,14551,199,20801,0.7091,0.02,,,,0.9,,,0.08,,RURAL,NON-FELDA,0,10.44,18.74,23.25,21.35,14.2,8.02,2.98,1.01,OPPOSITION
204,BETONG,BN,0.6041,SARAWAK,20720,283,29145,0.7206,0.38,,,,0.55,,,0.07,,RURAL,NON-FELDA,0,14.08,21.1,21.13,20.12,13.99,6.65,2.46,0.47,OPPOSITION
205,SARATOK,PKR,0.5218,SARAWAK,22707,257,30517,0.7525,0.36,,,,0.57,,0.01,0.06,,RURAL,NON-FELDA,0,13.2,20.25,21.75,21.67,14.35,6.06,2.22,0.5,GOVERNMENT
206,TANJONG MANIS,BN,0.8069,SARAWAK,14130,214,21899,0.655,0.26,,,,0.69,,0.01,0.04,,RURAL,NON-FELDA,0,13.42,22.15,23.55,20.24,12.57,5.63,1.82,0.62,OPPOSITION
207,IGAN,BN,0.8376,SARAWAK,12581,317,19592,0.6583,0.07,,,,0.89,,,0.04,,RURAL,NON-FELDA,0,14.68,22.47,21.81,20.53,12.21,5.97,1.97,0.38,OPPOSITION
208,SARIKEI,DAP,0.5357,SARAWAK,30476,340,39561,0.7789,0.05,,,,0.32,,,0.63,,SEMI URBAN,NON-FELDA,0,13.68,21.55,21.28,19.53,14.17,6.59,2.46,0.74,GOVERNMENT
209,JULAU,BEBAS - KERUSI,0.5528,SARAWAK,18279,241,25380,0.7297,0.01,,,,0.94,,,0.05,,RURAL,NON-FELDA,0,14.74,19.71,24.42,19.83,11.51,6.3,2.5,0.98,OPPOSITION
210,KANOWIT,BN,0.6457999999999999,SARAWAK,14792,295,21022,0.7177,0.02,,,,0.86,,,0.12,,RURAL,NON-FELDA,0,11.5,19.51,21.94,21.31,13.87,7.74,2.93,1.2,OPPOSITION
211,LANANG,DAP,0.6516,SARAWAK,45892,365,61973,0.7464,0.03,,,,0.27,,0.01,0.69,,RURAL,NON-FELDA,0,13.76,21.12,22.0,19.21,14.53,6.51,2.12,0.75,GOVERNMENT
212,SIBU,DAP,0.5958,SARAWAK,56753,515,74149,0.7723,0.11,,,,0.25,,0.01,0.63,,SEMI URBAN,NON-FELDA,0,15.83,23.57,21.79,18.71,12.18,5.47,1.84,0.62,GOVERNMENT
213,MUKAH,BN,0.669,SARAWAK,20706,379,30608,0.6889,0.03,,,,0.87,,0.01,0.09,,RURAL,NON-FELDA,0,13.18,21.11,22.3,20.14,14.0,6.67,2.19,0.4,OPPOSITION
214,SELANGAU,PKR,0.5111,SARAWAK,21970,334,30026,0.7428,0.01,,,,0.95,,0.01,0.03,,RURAL,NON-FELDA,0,13.36,21.61,24.68,18.72,11.69,6.46,2.41,1.07,GOVERNMENT
215,KAPIT,BN,0.7890999999999999,SARAWAK,18125,278,30658,0.6003000000000001,0.03,,,,0.87,,,0.1,,RURAL,NON-FELDA,0,14.4,21.39,22.51,19.26,11.64,7.14,2.62,1.05,OPPOSITION
216,HULU RAJANG,BN,0.682,SARAWAK,17353,306,27520,0.6417,0.01,,,,0.97,,,0.02,,RURAL,NON-FELDA,0,14.01,21.36,22.78,19.43,10.59,7.17,3.06,1.6,OPPOSITION
217,BINTULU,BN,0.5705,SARAWAK,47458,523,65049,0.7376,0.11,,,,0.6,,,0.29,,SEMI URBAN,NON-FELDA,0,13.48,21.17,24.42,22.07,12.01,4.83,1.44,0.59,OPPOSITION
218,SIBUTI,BN,0.546,SARAWAK,22369,284,31868,0.7108,0.24,,,,0.54,,,0.22,,RURAL,NON-FELDA,0,12.5,22.92,21.76,20.41,14.62,5.58,1.73,0.47,OPPOSITION
219,MIRI,PKR,0.6182,SARAWAK,57815,513,80386,0.7256,0.15,,,,0.28,,0.02,0.55,,SEMI URBAN,NON-FELDA,0,11.04,21.5,22.87,21.33,15.37,5.56,1.8,0.54,GOVERNMENT
220,BARAM,BN,0.5445,SARAWAK,22352,399,35685,0.6376,0.05,,,,0.87,,,0.08,,RURAL,NON-FELDA,0,9.19,17.79,22.51,21.91,14.42,7.71,4.19,2.27,OPPOSITION
221,LIMBANG,BN,0.7206999999999999,SARAWAK,17468,201,26409,0.6690999999999999,0.28,,,,0.46,,0.08,0.18,,RURAL,NON-FELDA,0,12.46,22.24,21.95,21.4,13.77,5.59,1.91,0.68,OPPOSITION
222,LAWAS,BN,0.7044,SARAWAK,14250,157,21297,0.6765000000000001,0.4,,,,0.48,,0.03,0.09,,RURAL,NON-FELDA,0,14.58,22.14,22.45,20.07,12.83,5.03,2.12,0.78,OPPOSITION
